index,psnr
0,1.0479
1,1.0981
2,0.9261
3,0.7857
4,0.8622
5,0.8676
6,1.3340
7,1.6115
8,2.0856
9,2.0224
10,1.9626
11,1.7910
12,1.6539
13,1.4404
14,1.3470
15,1.1664
16,0.9754
17,1.1751
18,0.7033
19,0.8811
20,0.8324
21,0.2763
22,0.1153
23,0.2163
24,0.9936
25,1.0778
26,1.0089
27,1.1155
28,1.3830
29,1.6460
30,1.9176
31,2.0651
32,2.3303
33,2.3146
34,2.3788
35,2.2126
36,2.3312
37,7.6759
38,7.8054
39,7.5376
40,7.2658
41,6.9902
42,6.6824
43,7.0495
44,9.2182
45,9.9960
46,10.0745
47,9.8490
48,8.7016
49,5.7832
50,6.2440
51,6.0161
52,5.9289
53,5.5547
54,6.3988
55,5.3622
56,5.3583
57,4.3486
58,4.3329
59,3.7298
60,3.3852
61,3.1075
62,3.9362
63,5.0085
64,5.6391
65,6.5127
66,7.3016
67,7.5600
68,7.9263
69,8.0846
70,8.2261
71,8.1142
72,6.3152
73,6.1149
74,4.6235
75,5.2921
76,4.2840
77,4.0601
78,4.1388
79,4.3541
80,4.7813
81,5.1375
82,5.5255
83,5.6416
84,5.7829
85,6.0047
86,6.6154
87,7.0473
88,7.6757
89,8.2588
90,8.5288
91,8.7253
92,10.0745
93,10.1494
94,9.4694
95,9.1994
96,8.6840
97,8.6594
98,8.2149
99,8.3992
100,8.9376
101,9.2508
102,7.9386
103,7.1733
104,5.9186
105,4.4832
106,4.4190
107,4.3719
108,3.9960
109,3.9181
110,4.5571
111,7.7271
112,5.7184
113,5.1792
114,6.2543
115,7.8241
116,4.9740
117,4.8740
118,4.2687
119,3.1487
120,4.2249
121,5.6418
122,5.6081
123,7.4767
124,7.0537
125,6.9542
126,7.0792
127,6.7409
128,6.7696
129,7.6871
130,8.6820
131,7.5389
132,7.2956
133,8.4612
134,8.1573
135,8.3283
136,8.1154
137,7.2606
138,9.5188
139,9.5709
140,9.3441
141,9.3544
142,7.4537
143,6.8327
144,6.2075
145,5.7042
146,5.5479
147,4.8560
148,8.3852
149,8.5004
150,8.3872
151,8.4134
152,8.3305
153,8.4196
154,8.9613
155,10.2890
156,9.7712
157,6.7755
158,7.0632
159,6.9797
160,7.3047
161,7.6888
162,7.6724
163,7.0958
164,8.0409
165,8.2058
166,8.9515
167,8.3976
168,8.4400
169,7.2190
170,7.3730
171,7.0157
172,6.6510
173,6.4437
174,7.2537
175,8.3423
176,9.3163
177,9.3531
178,11.0137
179,15.6408
180,12.1243
181,12.0557
182,9.7918
183,8.0099
184,8.9545
185,7.3046
186,7.2727
187,6.9467
188,6.8998
189,7.3437
190,7.5671
191,7.8155
192,7.9629
193,8.1413
194,8.6553
195,8.0483
196,7.6308
197,7.4558
198,5.6900
199,5.8749
200,8.9885
201,10.8414
202,9.1691
203,8.1884
204,7.3247
205,6.3084
206,6.5097
207,7.7214
